"alpha_1","alpha_2","alpha_3","alpha_4","alpha_5","beta_1","beta_2","beta_3","beta_4","beta_5","beta_6","mu_alpha","sigma","sigma_alpha"
2.98759879384367,2.86985503674365,2.46029099691556,3.0858543941357,2.42038937334008,0.190838098464979,-0.229512374023172,-0.0159863165181485,0.18407188074786,0.38156696110237,-0.297749759851796,2.88231050205335,0.578444895972859,0.667899911419038
3.29721584686622,3.24314540937166,2.64575164718516,3.15552532582231,2.62192358159817,0.174591846936672,-0.232444814262999,0.00255477959297148,0.396270969274839,0.26272953297471,-0.456511114361274,3.68074428780279,0.5032311356725,1.09954581338629
3.25819610970334,3.17394606746298,2.90540496307474,3.15966792260026,2.85811041494941,0.157347266225186,-0.230965953596964,-0.0647978625473462,0.530769806928634,0.22217733090438,-0.362121066806148,2.87739737876948,0.503390746673389,0.250608694240541
3.4384201437385,3.21734748659442,2.72544724078799,3.47131816985182,2.89846897596769,0.195059547771597,-0.230382790257221,-0.178862257054537,0.430692279326241,0.184111291539551,-0.527335854792149,3.21748784309476,0.494691001495004,0.255806611057266
2.49167243549667,2.67623827102728,1.9593942387826,2.96850047681585,2.21561166347212,0.20988577110424,-0.171160150982084,-0.169527708374469,0.46812910001383,0.172640936212857,-0.49855001634028,2.6191904035743,0.586516490178444,0.203928850435529
2.6852445716484,2.74641018166578,2.45545204635441,2.80331828086772,2.36251898507531,0.201050720705652,-0.180357823665312,-0.00612735418836168,0.539504779556381,0.105034881899557,-0.485209142506003,2.16354798674672,0.524526934814311,0.350715075508504
3.07811777452691,2.92904258508477,2.51838854591112,2.9306588373037,2.31245503182919,0.143829289564155,-0.190738262962701,0.000340650103248505,0.495423941094394,0.166132770307845,-0.485746569799195,2.89203808166741,0.539966792837921,0.980535792588084
2.74788226372826,2.78954245787794,2.3272759619034,2.74300883346562,2.13533450314414,0.166656586666334,-0.161277089572481,-0.116746447392096,0.394594693470787,0.0209084059365242,-0.482877377980775,2.36272325248559,0.533236187034427,0.703293378623008
2.47584958182485,2.50353994252688,2.23987891965563,2.58023215721972,2.27335389349458,0.148450813676383,-0.149853205048285,-0.123480933118815,0.368272619218376,0.0680099931757904,-0.413608810947169,2.28650019293225,0.528731583206664,0.150348121711689
2.78583448125774,2.72979705064741,2.27009918676337,2.73131469570865,2.26047783210589,0.167780876840648,-0.186906178065765,0.00215881899299473,0.256090989163811,0.140990353960564,-0.290245319946732,2.20406063568046,0.502970966400176,0.390445674199058
2.16814421894107,2.38168181718998,1.90508454989898,2.3508555540213,1.90566415916919,0.170885983852949,-0.140867900933639,-0.0675466941913027,0.586083408518568,0.134656190998809,-0.439110187022737,2.3326156202549,0.547546831387925,0.177879706435795
3.76453380342126,3.42418996163124,3.31930193086124,3.71700617428857,3.32412169382181,0.138666850881286,-0.266720152881013,-0.0379441230721219,0.38475669080477,0.327170944502416,-0.431463523299791,3.47762924875816,0.494289398509069,0.186303224910915
3.83981581650819,3.84037836560619,3.1492501559677,3.92470156865448,3.29637960180374,0.185281902841411,-0.294993796509254,0.0297650342096583,0.339443957321081,0.185829548291449,-0.359113146688081,3.49527401466499,0.547756331663095,0.288446224727096
3.55648273900503,3.41506349633184,3.24792714212055,3.72205205262721,3.32005539297017,0.117365875144792,-0.242792563354441,0.00382990587383909,0.400457066337591,0.355344598528037,-0.649151178788216,3.54703020012626,0.555958032379955,0.337172884649809
3.35416564711379,3.12098213816489,2.81360089856354,3.35171221477541,2.97435523262311,0.15521703243562,-0.214550860440277,-0.0392992409366941,0.476138315171895,0.115891702621448,-0.616563482400237,3.15696428005851,0.510251335774923,0.302036892196046
2.97208370141914,2.90430139057481,2.42542447415868,3.00067858343908,2.75025264674836,0.201174713234202,-0.222362039932787,0.0237065047927963,0.503460261635561,0.269977086099967,-0.369847391644167,2.924764101628,0.509693166412323,0.476278592799798
3.02166898634545,3.30764965137752,2.89497685641516,3.32126612438044,2.90057725822326,0.244897970280587,-0.256923440574465,-0.0560345111756069,0.556159310050895,0.229487749348942,-0.432249880441759,3.08109266341238,0.47859722073162,0.424809589942018
3.61787159885885,3.08523319032205,2.96298581696699,3.57543462144931,3.22995282655189,0.0787618908046299,-0.209341643846428,-0.0188635255751097,0.489835907935111,0.145989635308683,-0.659006574925493,3.50101869840191,0.516538701544065,0.456686187507482
2.33444214518603,2.60923396017106,1.63068666474126,2.56820644240486,1.8956897154948,0.203334695993781,-0.158771165999907,-0.087785926081382,0.347902533141516,0.215670338907681,-0.435895639944272,2.2864238857138,0.474993590921187,0.613780922369901
2.44653057282961,2.74535897379179,2.14749509263284,2.95150112250446,2.168817028998,0.267067639769765,-0.208536971091183,-0.0258323194294611,0.353481266813111,0.202929967403325,-0.334433280329211,2.40926339339852,0.599770159202978,0.443134150075855
3.14289252594748,3.09853970337411,2.71746929611208,3.32009207452797,2.83082542861705,0.0511358584240875,-0.194303488076555,-0.0956696125596084,0.379778787594569,0.362794171394982,-0.501876565806302,2.99864831506006,0.520013182215928,0.274395374883279
2.61266935823343,2.73802740652776,2.19475487285206,2.9458615899555,2.1589108186616,0.147263819266564,-0.171353181568271,-0.00601026270692263,0.493452478551521,0.116159454527002,-0.367441932526858,2.95461913034907,0.576513798899708,0.832105997371926
3.32493204483332,2.99189772528099,2.51103517811037,3.25156623703905,2.84448154903952,0.140066312119194,-0.215323174670263,-0.0297845948116957,0.602202055536305,0.262650351088298,-0.56182031815757,3.03753634342259,0.502007894122169,0.33378325561235
3.55903922716523,3.27801827004253,3.03211274778084,3.48701504982714,3.13735756848766,0.157077176404099,-0.227657642352328,-0.0523690833069709,0.431984195887895,0.105444555298055,-0.675031115282528,3.27151391143758,0.485007015951673,0.444328008866756
3.8855815454705,3.48535123181237,3.34687844015717,3.61732320351896,3.01708068918522,0.146041109899804,-0.244551347593246,-0.0508190160412949,0.0544106520398632,-0.0113056776637757,-0.42416987277734,3.59428535710086,0.549164789268618,0.521572175269823
2.81638364849333,2.71846923747104,2.31785117456861,2.75317906912004,2.62530803253981,0.139274798055522,-0.1873005768517,-0.0197215221735246,0.229034818454646,0.209436091809634,-0.402762938873596,2.38117208350468,0.542009050691206,0.456722714176884
3.18842651472289,3.10644342025159,2.62942979723165,3.36565597291418,2.79308447378191,0.139797312849882,-0.219545131928511,-0.0266915556761643,0.458946997594123,0.349150364821558,-0.546906329400742,2.83111346589958,0.497169597342094,0.279033773553265
3.1898522405215,3.04337183334661,2.90339616652283,3.31271045051769,2.8513502155496,0.195751974940885,-0.234223670006824,-0.00689277044594247,0.334936718297184,0.229135490679635,-0.49082003316881,3.15667707686352,0.538479441205395,0.244977178592975
3.15012787235839,2.78179021771514,2.91960119080799,3.26341594101644,2.53998140481604,0.131230161112252,-0.198577367097882,-0.0298856830310364,0.313945184967846,0.16203618891418,-0.474138807042156,3.06846117334347,0.538497213296865,0.365724365915412
